confid,dist_name,params
10_hour_15,powerlognorm,"[0.48951969768227027, 0.6063246460910524, -0.04797385827367549, 0.24160215769621093]"
10_hour_16,lognorm,"[0.7965284764183851, -0.03940726568089408, 0.430056964622451]"
10_hour_17,powerlognorm,"[17.86580181439671, 1.6262331165340131, -0.016307848703536677, 9.701836376325046]"
10_hour_18,powerlognorm,"[47.595183258042, 1.7613123669763722, -0.021501729010001736, 30.19307064168311]"
10_hour_19,powerlognorm,"[0.013222790142466363, 0.06066685225397157, -0.6482894779338881, 0.6834416279809695]"
10_hour_20,lognorm,"[0.5669798224237848, -0.14518988139032896, 0.7013322002028557]"
10_hour_21,powerlognorm,"[2.3768680575879024, 0.7929446656188477, -0.08398809562966955, 0.9908452036216171]"
10_hour_22,lognorm,"[0.6864094324960199, -0.06417715720921618, 0.44284269791118847]"
10_hour_23,powerlognorm,"[0.11831004154279216, 0.30003665600651624, -0.07413672514804306, 0.14599402326084385]"
11_hour_0,powerlognorm,"[0.20545530585221589, 0.4144785032545584, -0.05440071843558432, 0.14522521558535267]"
11_hour_1,powerlognorm,"[0.20350996891976642, 0.38517644924059047, -0.045207911384914194, 0.1196397268723325]"
11_hour_2,powerlognorm,"[0.24213348032167947, 0.3799028112021397, -0.044763150090214705, 0.11996296737210176]"
11_hour_3,lognorm,"[0.6664580637670054, -0.02407113362400747, 0.19191866721350198]"
11_hour_4,powerlognorm,"[0.25067056835129553, 0.3734911134635449, -0.041786256089655555, 0.11643836926647312]"
11_hour_5,powerlognorm,"[0.23377601391213235, 0.3808255069595501, -0.04337998108183249, 0.11755802496393827]"
11_hour_6,lognorm,"[0.7700996038840923, -0.02221159532801395, 0.2433954486484533]"
11_hour_7,powerlognorm,"[0.19707119455042985, 0.4040571860973473, -0.062318167564156965, 0.1726277562526354]"
11_hour_8,powerlognorm,"[0.2676342284061657, 0.42341421458264206, -0.08782123831477669, 0.24933887031927848]"
11_hour_9,powerlognorm,"[0.220917498057309, 0.4191115435329227, -0.07722005616037922, 0.21207987673583228]"
11_hour_10,lognorm,"[0.8522912936251645, -0.030342365759474306, 0.3645527369142316]"
11_hour_11,powerlognorm,"[0.5317191242142625, 0.7026006857754885, -0.034179393171786136, 0.2252184161188806]"
11_hour_12,powerlognorm,"[0.898074419796744, 0.859800760024203, -0.025318174523190816, 0.31116191415171235]"
11_hour_13,powerlognorm,"[0.8128290094276467, 0.8088072959021511, -0.031407363417455925, 0.310476397646676]"
11_hour_14,powerlognorm,"[0.5872537959210257, 0.698265315422819, -0.03806088299820137, 0.25406727420945174]"
11_hour_15,powerlognorm,"[0.5768352416091853, 0.6786901027843228, -0.04138250993573939, 0.26157201665883695]"
11_hour_16,lognorm,"[0.7805281816051541, -0.05359065812417206, 0.4785954090774214]"
11_hour_17,lognorm,"[0.690339891836221, -0.11185576581843876, 0.6955794303983059]"
11_hour_18,lognorm,"[0.6369951449960669, -0.15386758079649132, 0.8258885378110101]"
