confid,dist_name,params
7_hour_20,lognorm,"[0.7558434130714147, -0.011152021377235321, 0.4158576864844039]"
7_hour_21,lognorm,"[0.7110518054318024, -0.018025421404810497, 0.4373642859254847]"
7_hour_22,powerlognorm,"[17.563319268580404, 1.6724934826588607, 0.025995752650166445, 6.065704035571053]"
7_hour_23,lognorm,"[0.7644806277627347, -0.009947182071262672, 0.25903759022453443]"
8_hour_0,lognorm,"[0.6381469502248818, -0.02697455729604477, 0.21697250050515282]"
8_hour_1,lognorm,"[0.5198229705642872, -0.04387983952895097, 0.21762288343790226]"
8_hour_2,powerlognorm,"[0.313179197851131, 0.3222557792137721, -0.07396116408427358, 0.16763893203982178]"
8_hour_3,powerlognorm,"[0.22152606087395324, 0.31609317613208643, -0.05610284214648563, 0.13481171350374285]"
8_hour_4,lognorm,"[0.617831595278626, -0.028116461458590612, 0.20276699053821678]"
8_hour_5,powerlognorm,"[0.23955593407977416, 0.34552539032468443, -0.05883909143795704, 0.1420607452352169]"
8_hour_6,lognorm,"[0.7779343590229586, 0.006670200708164407, 0.22404080262075912]"
8_hour_7,lognorm,"[0.86838730979714, -0.0021090219599843142, 0.2742828507856018]"
8_hour_8,powerlognorm,"[11.234742339039329, 1.6828282009950457, 0.0016562174000597446, 4.17526115745961]"
8_hour_9,lognorm,"[0.9035093061561623, -0.0086412206919887, 0.29267996075976543]"
8_hour_10,lognorm,"[0.8610578790025032, -0.007636534526721103, 0.29603023255730676]"
8_hour_11,powerlognorm,"[0.09479511051554065, 0.3021653063926816, -0.05817402595191422, 0.12427703295962615]"
8_hour_12,powerlognorm,"[0.05571783240598836, 0.26916650778956497, -0.014423470043794807, 0.08080483051196957]"
8_hour_13,lognorm,"[0.9301453733018523, 0.01302484549145012, 0.23864191086537223]"
8_hour_14,lognorm,"[0.8475926232050346, 0.0026895231732945377, 0.243595165374149]"
8_hour_15,powerlognorm,"[20.24433205397785, 2.033978598754582, 0.03350796537174862, 9.275784165643309]"
8_hour_16,powerlognorm,"[0.020158516265005727, 0.13845406941598165, -0.07027754537995505, 0.11748568184880395]"
8_hour_17,powerlognorm,"[1.4623153993442393, 1.0845841065597919, 0.013474801557954889, 0.42979596779379414]"
8_hour_18,lognorm,"[1.0731535464834048, 0.023761312852665445, 0.31493219390328686]"
8_hour_19,lognorm,"[0.961298158952602, 0.017603086348523915, 0.342255577951342]"
8_hour_20,lognorm,"[0.783771467644147, -0.005841576051007706, 0.4273289657385769]"
8_hour_21,lognorm,"[0.7668936235264483, -0.008263950090110779, 0.43357103862969626]"
8_hour_22,powerlognorm,"[15.955184829817915, 1.6968162192658938, 0.026586622991503554, 5.797975613223365]"
8_hour_23,lognorm,"[0.7933434361434678, -0.011831168369773562, 0.2532132521407149]"
9_hour_0,lognorm,"[0.6743146221914463, -0.02786282393441138, 0.22705087832739929]"
